iter	Passed	Remaining
847	1350	242
848	1352	240
849	1353	238
850	1355	237
851	1356	235
852	1357	234
853	1359	232
854	1361	230
855	1362	229
856	1364	227
857	1366	226
858	1367	224
859	1369	222
860	1371	221
861	1373	219
862	1375	218
863	1377	216
864	1378	215
865	1380	213
866	1382	212
867	1383	210
868	1385	208
869	1386	207
870	1387	205
871	1389	203
872	1391	202
873	1392	200
874	1393	199
875	1395	197
876	1397	195
877	1398	194
878	1401	192
879	1402	191
880	1404	189
881	1406	188
882	1408	186
883	1409	184
884	1411	183
885	1413	181
886	1415	180
887	1416	178
888	1418	177
889	1420	175
890	1422	173
891	1423	172
892	1425	170
893	1427	169
894	1428	167
895	1430	166
896	1431	164
897	1433	162
898	1436	161
899	1437	159
900	1439	158
901	1441	156
902	1442	154
903	1444	153
904	1446	151
905	1448	150
906	1450	148
907	1452	147
908	1454	145
909	1456	144
910	1457	142
911	1459	140
912	1461	139
913	1463	137
914	1465	136
915	1466	134
916	1468	132
917	1470	131
918	1471	129
919	1474	128
920	1476	126
921	1478	125
922	1480	123
923	1481	121
924	1483	120
925	1485	118
926	1486	117
927	1488	115
928	1490	113
929	1491	112
930	1492	110
931	1494	109
932	1496	107
933	1498	105
934	1499	104
935	1500	102
936	1502	101
937	1504	99
938	1506	97
939	1507	96
940	1509	94
941	1512	93
942	1513	91
943	1515	89
944	1517	88
945	1519	86
946	1521	85
947	1522	83
948	1525	81
949	1527	80
950	1529	78
951	1531	77
952	1533	75
953	1534	73
954	1537	72
955	1538	70
956	1541	69
957	1543	67
958	1544	66
959	1545	64
960	1547	62
961	1549	61
962	1551	59
963	1553	58
964	1555	56
965	1557	54
966	1559	53
967	1560	51
968	1562	49
969	1563	48
970	1565	46
971	1567	45
972	1569	43
973	1571	41
974	1572	40
975	1574	38
976	1576	37
977	1578	35
978	1580	33
979	1581	32
980	1582	30
981	1584	29
982	1585	27
983	1587	25
984	1589	24
985	1590	22
986	1591	20
987	1593	19
988	1595	17
989	1596	16
990	1599	14
991	1601	12
992	1602	11
993	1604	9
994	1606	8
995	1607	6
996	1609	4
997	1610	3
998	1611	1
999	1613	0
